Net_ID,Start_Time,End_Time,Hauling_Start,OnDeck_Start,OnDeck_End,Sorting_Start,OnDeck_Duration,Illegal_Transitions
Net1,21:10:00,21:40:00,21:10:00,21:18:04,21:19:00,21:19:04,60,0
Net2,21:50:00,22:20:00,21:55:28,22:12:16,22:13:04,22:13:08,52,4
Net3,22:55:00,23:25:00,22:55:00,23:08:32,23:09:28,23:09:32,60,3
Net4,00:05:00,00:35:00,00:05:52,00:14:48,00:29:44,00:15:56,900,2
Net5,00:50:00,01:20:00,00:53:16,01:04:12,01:17:20,01:04:32,792,3
Net6,01:40:00,02:10:00,01:43:44,01:54:32,01:55:28,01:55:32,60,2
Net7,02:40:00,03:10:00,02:40:00,02:48:52,02:49:04,02:49:20,16,5
Net8,03:40:00,04:10:00,03:41:24,03:50:44,04:04:08,03:52:00,808,5
Net9,04:30:00,05:00:00,04:44:34,04:57:16,04:58:16,04:46:18,64,10
